audio	sentence	duration	gender	native_lang
12_6708_0_121_01_211106-223941_bem_9ed_elicit_0.wav	umwaice uufwele ishati iyabuta naiminina mufyani 	4.9910000000000005	male	nya
17_6594_1_172_02_220112-142814_bem_5da_elicit_0.wav	cilemoneka kwati pali ebo alelada nabo abali apatali nomba teti aleya ekobali pantu balicingilila 	7.917000000000001	male	toi
13_3148_1_132_02_211024-214733_bem_9ed_elicit_0.wav	shilemoneka kwati shileisosha kwati shili munshi iya itebulo 	5.966	male	nya
7_5336_3_72_02_170101-054445_bem_74d_elicit_1.wav	alemoneka natemwa kwati kuli uulemusosha kumbali kuntu aloseshe 	7.146	female	toi
34_5144_2_341_01_211114-143017_bem_50c_elicit_1.wav	alelisha banjo ninshi naimanina pamusebo 	3.471	male	lam
27_9015_1_272_02_211113-012945_bem_e72_elicit_0.wav	nomba umutwe wakwe ulisaana mupepi nomushili bushe taicene uyu 	6.057	female	leh
28_3481_2_281_01_211111-153141_bem_d8d_elicit_1.wav	ishi imbwa shilemoneka isha nsansa saana mwe nashimya namatwi 	5.7620000000000005	female	leh
16_6214_2_161_01_220110-133223_bem_5da_elicit_1.wav	cilemoneka kwati nakwata amafya ayengi sana pantu kuntu ekele nabalemba ukuti takwa cingililwa 	7.441	male	tog
14_7248_1_142_02_211112-160627_bem_5da_elicit_0.wav	bushe umwana uyu bamushile eka nangu acisafe eka kukamana aka 	5.83	male	toi
31_9977_4_311_01_220129-002452_bem_c25_elicit_2.wav	pantanshi ya uyu umwaume uwamushinku pali abantu abengi abapusanapusana imishinku abaletamba no kukopa uko uyu umwaume aleimba ulwimbo pacisebele 	17.424	male	bem
22_2104_4_221_01_211110-141937_bem_50c_elicit_2.wav	naka fwala itangasa iya buta na sokoshi yafituluka 	6.67	male	lam
18_11979_0_181_01_211113-175529_bem_5da_elicit_0.wav	umulumendo napona panshi nailekelesha na ukuilekelesha elyo pali ulu kasa ulu munyantile kukuboko 	7.01	male	toi
27_9106_1_272_02_211113-150240_bem_b15_elicit_0.wav	iyi imbwa eletolekela akalibula aka red akali palunkoto 	6.261	female	leh
22_2124_0_221_01_211110-200150_bem_50c_elicit_0.wav	abalumendo bale yangala mupila 	2.994	male	lam
27_9118_4_271_01_211113-210923_bem_f07_elicit_2.wav	eya mukwai kabili cilepala kwati naumfwa bwino saana apa ali 	5.603	male	nya
19_1393_3_192_02_211110-163727_bem_d8d_elicit_1.wav	kumbali yakwa namayo ali nomwana kuli icela icobaiminika pali ne number cisano 	7.986000000000001	female	leh
16_6409_3_162_02_220110-110105_bem_9fd_elicit_1.wav	bushe mwana wakwa shitata uyu 	4.174	female	bem
