audio	sentence
/scratch/skscla001/speech/data/bigcgen/audio/7_1713_4_71_01_170102-002658_bem_74d_elicit_2.wav	awe abaume bena tabatina ukutoloka muli uyu umusango 
/scratch/skscla001/speech/data/bigcgen/audio/5_1106_1_52_02_211101-230724_bem_a9e_elicit_0.wav	imo pali shibili ilemoneka ukukalipa saana 
/scratch/skscla001/speech/data/bigcgen/audio/2_4063_3_22_02_211026-115049_bem_cee_elicit_1.wav	mumuputule umo wine muli na ifikope ifyo ba kobeka mucibumba na icilaiti icikalamba ici le lebelela kumulu wa mutenge 
/scratch/skscla001/speech/data/bigcgen/audio/6_1317_4_61_01_211025-062001_bem_53e_elicit_2.wav	elyo icibumbwa cilya bacikula pacibumbili icabuta ico bakula ubusaka pantu caiminina 
/scratch/skscla001/speech/data/bigcgen/audio/253_4_01_211013-182235_bem_dcc_elicit_2.wav	kunuma yakwa shitata yu kuli namotoka iyafiita iilemukonka munuma 
/scratch/skscla001/speech/data/bigcgen/audio/11_2558_4_111_01_211025-201630_bem_574_elicit_2.wav	aleeiteyanya ukupokelela ka bola ako bengamusukushila 
/scratch/skscla001/speech/data/bigcgen/audio/22_2040_3_222_02_211109-111722_bem_004_elicit_1.wav	paka mupando kamo kuli umufuko 
/scratch/skscla001/speech/data/bigcgen/audio/26_8801_1_262_02_211111-162754_bem_dcc_elicit_0.wav	bushe aya meenshi balesamba teyafiko sana 
/scratch/skscla001/speech/data/bigcgen/audio/22_7885_2_221_01_211112-211910_bem_004_elicit_1.wav	cilemoneka kwati bale imba 
/scratch/skscla001/speech/data/bigcgen/audio/17_6689_3_172_02_220112-183219_bem_5da_elicit_1.wav	bushe uyu shitata abomba incito nshi 
/scratch/skscla001/speech/data/bigcgen/audio/5_1245_4_51_01_211102-113230_bem_e3a_elicit_2.wav	icintu ico ifinama filelwila cilemoneka icafiita 
/scratch/skscla001/speech/data/bigcgen/audio/27_9095_2_271_01_211113-175314_bem_f07_elicit_1.wav	cilepala kwati uyu musebo waliba bize saana 
/scratch/skscla001/speech/data/bigcgen/audio/22_1985_3_222_02_211108-172726_bem_004_elicit_1.wav	kutali lutwe kuli motoka shitatu 
/scratch/skscla001/speech/data/bigcgen/audio/14_7100_1_142_02_211112-011202_bem_5da_elicit_0.wav	bushe aba bakashi nabalume nangu babombafe capamo 
/scratch/skscla001/speech/data/bigcgen/audio/10_6231_2_101_01_211108-103605_bem_5a5_elicit_1.wav	abanakashi bamo balekopa abaana abali pamulu 
/scratch/skscla001/speech/data/bigcgen/audio/27_3443_2_271_01_211111-204503_bem_e72_elicit_1.wav	kunuma yabo kuli akacola akaisuka mukati mulemoneka 
