audio,sentence
/scratch/skscla001/experiments/datasets/bigcgen/audio/695_1_02_211006-140811_bem_dcc_elicit_0.wav,uyu wine umulumendo aleteya icangalo beta ukutila tennis 
/scratch/skscla001/experiments/datasets/bigcgen/audio/30_9781_2_301_01_220120-220413_bem_eb0_elicit_1.wav,uyu shikulubantu asendele icipalile kwati kasuupa ka munkoyo mu minwe 
/scratch/skscla001/experiments/datasets/bigcgen/audio/22_7903_4_221_01_211113-002821_bem_004_elicit_2.wav,ku mpela yakwe umulumendo na fwala fya fita 
/scratch/skscla001/experiments/datasets/bigcgen/audio/37_5718_3_372_02_211110-082144_bem_aa2_elicit_1.wav,pakuwamya ama window bale bomfya insalu shabutonge 
/scratch/skscla001/experiments/datasets/bigcgen/audio/594_0_01_211004-134511_bem_81c_elicit_0.wav,umwana ali nabawishi baleangala 
/scratch/skscla001/experiments/datasets/bigcgen/audio/15_7330_1_152_02_211030-121737_bem_8cc_elicit_0.wav,mulandunshi umwaice aleebutukila 
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_3218_4_271_01_211109-144756_bem_e72_elicit_2.wav,bakonka abana abalingana imyaka noyu uwikelemo 
/scratch/skscla001/experiments/datasets/bigcgen/audio/33_4919_0_331_01_211110-232758_bem_c25_elicit_0.wav,umwana umunono umo umwanakashi uwa nkanda ya buuta ali ku ncende ya kwangalilako 
/scratch/skscla001/experiments/datasets/bigcgen/audio/29_9529_2_291_01_220112-180850_bem_9ff_elicit_1.wav,cishinka kufwile kuntu abantu baya mu kutukusha umubili 
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_3364_2_271_01_211111-125612_bem_e6d_elicit_1.wav,eyamukwai balibeka nabakwata nakacola munuma yabo umuntu teti eshibe ifili mukati 
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_8978_0_271_01_211113-103557_bem_f07_elicit_0.wav,batata bamo nabeminina mupepi na mapilo ayengi 
/scratch/skscla001/experiments/datasets/bigcgen/audio/15_7317_4_151_01_211027-071657_bem_9ff_elicit_2.wav,ukumona pamenso cili kwati kuli ifyo ishi imbwa shilepepeka 
/scratch/skscla001/experiments/datasets/bigcgen/audio/28_3522_1_282_02_211111-022650_bem_665_elicit_0.wav,tulemoneka nga utwafitulukila elyo akali kuntanshi nakemya amaboko mumulu 
/scratch/skscla001/experiments/datasets/bigcgen/audio/1_3936_3_12_02_211104-134220_bem_2a5_elicit_1.wav,muli kwati nimumpanga pantu muli ifyani nefimuti 
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_3302_3_272_02_211110-214817_bem_f07_elicit_1.wav,elo imo imbwa cipalile kwati nayisunsumana 
/scratch/skscla001/experiments/datasets/bigcgen/audio/22_7702_2_221_01_211112-073618_bem_004_elicit_1.wav,kulubali yakwe kuli aka mupando ta pali umuntu 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7696_2_161_01_211109-135743_bem_74d_elicit_1.wav,ee kwena naine namona natoloka elo uku kuli na ibumba lyabantu abengi abaletamba ubu ubwangalo 
/scratch/skscla001/experiments/datasets/bigcgen/audio/17_7798_2_171_01_211109-063125_bem_947_elicit_1.wav,awe kuti caba limbi pali abaleipepeka kunuma 
/scratch/skscla001/experiments/datasets/bigcgen/audio/30_9733_3_302_02_220120-184119_bem_c25_elicit_1.wav,bushe nifinshi aba abantu basano balecita kuli ici cifulo munshita yakasuba 
/scratch/skscla001/experiments/datasets/bigcgen/audio/8_1827_0_81_01_211029-162651_bem_abe_elicit_0.wav,umwaume alenina ulupili 
/scratch/skscla001/experiments/datasets/bigcgen/audio/35_5321_0_351_01_220117-141557_bem_ba5_elicit_0.wav,umwaume umo uwafiita inkanda naiminina mumuputule uwakusendamamo elyo umwana umulumendo natoloka 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7645_2_161_01_211109-125520_bem_74d_elicit_1.wav,capalakwati baletamba umumana elo kabili pali ifyo balelanshanya 
/scratch/skscla001/experiments/datasets/bigcgen/audio/25_2704_2_251_01_211109-100549_bem_5da_elicit_1.wav,ehe cipalile kwati inshita yaku tandala naipwa lelo shitata pakati tali uwa nsansa 
/scratch/skscla001/experiments/datasets/bigcgen/audio/34_5078_2_341_01_211114-094341_bem_50c_elicit_1.wav,aleteya akamupila aka tenesi 
/scratch/skscla001/experiments/datasets/bigcgen/audio/18_6790_1_182_02_220117-082922_bem_5bb_elicit_0.wav,uyu umukashana naba mukakila naintambo pakwebati efuntukilapanshi 
/scratch/skscla001/experiments/datasets/bigcgen/audio/33_4932_2_331_01_211110-235846_bem_c25_elicit_1.wav,kabili na fwala icimpompo ku mutwe ica kashika na ma gogo pamenso elyo ne cifimbo ca pakanwa ica buuta 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7652_2_161_01_211109-140650_bem_74d_elicit_1.wav,kafwile kali temwa ukulya saana aka akamwana elokacenjela 
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_9148_3_272_02_211113-183728_bem_b15_elicit_1.wav,bafuma mundeke baleya panshi pamushili mumulu eumu balefuka icushi cama color 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7629_2_161_01_211109-123450_bem_74d_elicit_1.wav,apa pali amabumba yabili elo baleteya ubwangalo bwa mupila wakutanusha 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_1931_0_211_01_211113-000724_bem_83a_elicit_0.wav,namayo umo naininina ku mbali ya bemba ninshi akasuba kali mukuwa 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_1795_4_211_01_211112-111047_bem_83a_elicit_2.wav,eee namona icikulwa cine cintu bashingulushako amagalasi kunse kukuciyefya 
/scratch/skscla001/experiments/datasets/bigcgen/audio/25_2909_1_252_02_211110-103019_bem_f08_elicit_0.wav,mekeni tumone mikope bwino bakakopa wa fikope baleba abana 
/scratch/skscla001/experiments/datasets/bigcgen/audio/20_7447_3_202_02_220120-101425_bem_665_elicit_1.wav,umo alefuma mulemoneka nga umo basungila ifyasangilwe pamushili 
/scratch/skscla001/experiments/datasets/bigcgen/audio/32_4662_2_321_01_211112-201836_bem_e94_elicit_1.wav,tabali beka abaana bali nabakashi abakulu abaleba tungilila 
/scratch/skscla001/experiments/datasets/bigcgen/audio/33_4851_0_331_01_211110-002437_bem_c25_elicit_0.wav,umwaume uwa nkanda ya buuta nafwala imputula iya fita ne shati ilya milaini elyo ne cimpmpo ku mutwe ali ku cifulo ca kuteyela amangalo 
