audio	sentence
/scratch/skscla001/speech/data/bigcgen/audio/27_9123_1_272_02_211113-160137_bem_b15_elicit_0.wav	apa bali aba umo alemoneka alefulukuta panshi cipalile naicena kukulu 
/scratch/skscla001/speech/data/bigcgen/audio/33_4833_1_332_02_211109-233816_bem_b14_elicit_0.wav	uyu umwanakashi elo no mwana bonse naba censa 
/scratch/skscla001/speech/data/bigcgen/audio/16_7562_0_161_01_170101-083858_bem_74d_elicit_0.wav	abaume babili nabeminina pacitu nagula cimashini 
/scratch/skscla001/speech/data/bigcgen/audio/21_1705_0_211_01_211111-092504_bem_83a_elicit_0.wav	akamwaiche ka mwenye akanakashi kalekumbaula fimo mu mpoto nensansa nakafimbana insalu iyafita elyo ali mu muputule bepikilamo pali imbale imbakuli na mapoto pa mbali yakwe 
/scratch/skscla001/speech/data/bigcgen/audio/16_7540_2_161_01_170101-071446_bem_74d_elicit_1.wav	kutilimbi teyabo imbwa kabili abana batemwa ukwangasha ifishili ifyabo 
/scratch/skscla001/speech/data/bigcgen/audio/21_1788_0_211_01_211112-110304_bem_83a_elicit_0.wav	umukashana umusungu nakwata icipyango cakwiminina alepyanga nalimo mu ng anda yakwe 
/scratch/skscla001/speech/data/bigcgen/audio/16_7702_4_161_01_211109-164539_bem_74d_elicit_2.wav	ee elo icibansa naco cilemonekafye icakatapa katapa 
/scratch/skscla001/speech/data/bigcgen/audio/21_1884_4_211_01_211112-225349_bem_83a_elicit_2.wav	cacine kwena pantu alekumpauka nganshi 
/scratch/skscla001/speech/data/bigcgen/audio/15_7448_2_151_01_211027-140309_bem_9ff_elicit_1.wav	cilemoneka kwati umwaice alepunda 
/scratch/skscla001/speech/data/bigcgen/audio/33_4920_0_331_01_211110-233232_bem_c25_elicit_0.wav	ibumba lya bantu abanakashi na baume bali mu cikulwa 
/scratch/skscla001/speech/data/bigcgen/audio/21_7486_3_212_02_220115-122900_bem_62a_elicit_1.wav	elyo bakapokola bonse nabafwala utusote twa makumbi makumbi nefyafita pacifuba 
/scratch/skscla001/speech/data/bigcgen/audio/22_7825_2_221_01_211112-165741_bem_004_elicit_1.wav	mwisamba yetebulo na mwaka ilampi chipalile kwati nipa bushiku 
/scratch/skscla001/speech/data/bigcgen/audio/14_3393_4_141_01_211105-033111_bem_ebf_elicit_2.wav	kwachiba efyo acilalya umwana ifishile nafikatilila palulimi 
/scratch/skscla001/speech/data/bigcgen/audio/9_2085_2_91_01_211025-111011_bem_ebf_elicit_1.wav	beminine mu meenshi kabili nabaloleshanya 
/scratch/skscla001/speech/data/bigcgen/audio/19_1404_3_192_02_211110-165642_bem_d8d_elicit_1.wav	kuti limbi nayibutuka kumwine mwe 
/scratch/skscla001/speech/data/bigcgen/audio/7_1704_1_72_02_211031-171734_bem_40e_elicit_0.wav	cipalile kwati panshi pali umumana emo aletolokela 
/scratch/skscla001/speech/data/bigcgen/audio/5_4950_2_51_01_220116-132415_bem_03f_elicit_1.wav	nakwata nakachola akanono akasomekwe ku mushipi uyu 
/scratch/skscla001/speech/data/bigcgen/audio/7_1671_4_71_01_170101-211459_bem_74d_elicit_2.wav	elo aleumfwa nabwino ukubelenga ici citabo ilyashi lilimo naliwama 
/scratch/skscla001/speech/data/bigcgen/audio/34_5045_2_341_01_211113-193119_bem_004_elicit_1.wav	ali pa makwebo ya kushitisha amaluba 
/scratch/skscla001/speech/data/bigcgen/audio/8_5532_3_82_02_211104-222343_bem_901_elicit_1.wav	nakalimo imbwa tailemufwaya 
/scratch/skscla001/speech/data/bigcgen/audio/16_7674_0_161_01_211109-145122_bem_74d_elicit_0.wav	imbwa cibili shile butuka mulikampinga 
/scratch/skscla001/speech/data/bigcgen/audio/21_1882_0_211_01_211112-225131_bem_83a_elicit_0.wav	abacaice bane abasungu apali abalumendo babili na bakashana babili balebelesha ukwangala kwa kulwa ninshi nabafwala ne mingila ya buta mucikulwa babeleseshamo 
/scratch/skscla001/speech/data/bigcgen/audio/39_885_0_391_01_211116-161033_bem_1e5_elicit_0.wav	umwaume umukalamba ali pamusebo naiminina kabili alelisha ifilimba fyakwe 
/scratch/skscla001/speech/data/bigcgen/audio/9_5923_1_92_02_211028-233640_bem_ebf_elicit_0.wav	bushe bali kwisa 
/scratch/skscla001/speech/data/bigcgen/audio/21_1780_4_211_01_211112-105351_bem_83a_elicit_2.wav	cine elyo nafwala ne toloshi lya makumbi makumbi nece mpepo cilemoneka icabutako panono 
/scratch/skscla001/speech/data/bigcgen/audio/7_5325_2_71_01_211103-224925_bem_1e5_elicit_1.wav	ulupili lwine nalukwata nomwakwikata pakunina efyo babikakofye 
/scratch/skscla001/speech/data/bigcgen/audio/19_1331_3_192_02_211110-130139_bem_d8d_elicit_1.wav	elyo shitata untu apalamine kumwinshi nafwala amagalashi yafita ayakucingilila amenso kukasuba 
/scratch/skscla001/speech/data/bigcgen/audio/5_4805_3_52_02_220125-062229_bem_574_elicit_1.wav	cine elo ishi mbwa nashitantama mukulungatana ilyo shilepita pa menshi makasa 
