audio,sentence
/scratch/skscla001/experiments/datasets/bigcgen/audio/27_9123_1_272_02_211113-160137_bem_b15_elicit_0.wav,apa bali aba umo alemoneka alefulukuta panshi cipalile naicena kukulu 
/scratch/skscla001/experiments/datasets/bigcgen/audio/33_4833_1_332_02_211109-233816_bem_b14_elicit_0.wav,uyu umwanakashi elo no mwana bonse naba censa 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7562_0_161_01_170101-083858_bem_74d_elicit_0.wav,abaume babili nabeminina pacitu nagula cimashini 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_1705_0_211_01_211111-092504_bem_83a_elicit_0.wav,akamwaiche ka mwenye akanakashi kalekumbaula fimo mu mpoto nensansa nakafimbana insalu iyafita elyo ali mu muputule bepikilamo pali imbale imbakuli na mapoto pa mbali yakwe 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7540_2_161_01_170101-071446_bem_74d_elicit_1.wav,kutilimbi teyabo imbwa kabili abana batemwa ukwangasha ifishili ifyabo 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_1788_0_211_01_211112-110304_bem_83a_elicit_0.wav,umukashana umusungu nakwata icipyango cakwiminina alepyanga nalimo mu ng anda yakwe 
/scratch/skscla001/experiments/datasets/bigcgen/audio/16_7702_4_161_01_211109-164539_bem_74d_elicit_2.wav,ee elo icibansa naco cilemonekafye icakatapa katapa 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_1884_4_211_01_211112-225349_bem_83a_elicit_2.wav,cacine kwena pantu alekumpauka nganshi 
/scratch/skscla001/experiments/datasets/bigcgen/audio/15_7448_2_151_01_211027-140309_bem_9ff_elicit_1.wav,cilemoneka kwati umwaice alepunda 
/scratch/skscla001/experiments/datasets/bigcgen/audio/33_4920_0_331_01_211110-233232_bem_c25_elicit_0.wav,ibumba lya bantu abanakashi na baume bali mu cikulwa 
/scratch/skscla001/experiments/datasets/bigcgen/audio/21_7486_3_212_02_220115-122900_bem_62a_elicit_1.wav,elyo bakapokola bonse nabafwala utusote twa makumbi makumbi nefyafita pacifuba 
/scratch/skscla001/experiments/datasets/bigcgen/audio/22_7825_2_221_01_211112-165741_bem_004_elicit_1.wav,mwisamba yetebulo na mwaka ilampi chipalile kwati nipa bushiku 
