audio,sentence
/scratch/skscla001/experiments/datasets/bigcgen/audio/4_4638_4_41_01_211031-003533_bem_5a5_elicit_2.wav,uyu umulumendo uleshelela alefuma kumpili ishi kalamba eko ale tentemuka 
/scratch/skscla001/experiments/datasets/bigcgen/audio/10_6217_3_102_02_211102-141427_bem_ddd_elicit_1.wav,bushe finshi ilecita imbwa iyi uku kuncende 
/scratch/skscla001/experiments/datasets/bigcgen/audio/12_6645_0_121_01_211105-183625_bem_9ed_elicit_0.wav,abaume baleyensha abaana kuntanshi yabulalo 
/scratch/skscla001/experiments/datasets/bigcgen/audio/12377_0_01_211029-180431_bem_142_elicit_0.wav,ici cikope ciletulangiasha abantu babibili ekuti banamayo kabili bali kuncende ukusuma sana kabili apo banyantile palemoneka apalelema bushe uletontonkaya ukuti nifinshi balecita 
/scratch/skscla001/experiments/datasets/bigcgen/audio/6_1262_1_62_02_211026-091252_bem_976_elicit_0.wav,mukucimona abalumendo balebutusha ifitukutuku sana kwati nakalimo bali mubwangalo bwakucimfyanya 
/scratch/skscla001/experiments/datasets/bigcgen/audio/34_5148_0_341_01_211114-144117_bem_50c_elicit_0.wav,umulumendo ali mucibansa aleteya umupila wakuminwe 
/scratch/skscla001/experiments/datasets/bigcgen/audio/22_2187_4_221_01_211111-071232_bem_50c_elicit_2.wav,awe naka moneka bwino 
/scratch/skscla001/experiments/datasets/bigcgen/audio/34_5122_4_341_01_211114-124506_bem_50c_elicit_2.wav,kunuma yabalumendo kuli icikulwa ici tali 
/scratch/skscla001/experiments/datasets/bigcgen/audio/29_3922_2_291_01_211114-233312_bem_433_elicit_1.wav,ee boi walungika ndemona uyu shikulu bantu alabombesha elo alikwatilamo impiya ishingi muli aya makwebo 
/scratch/skscla001/experiments/datasets/bigcgen/audio/22_2124_0_221_01_211110-200150_bem_50c_elicit_0.wav,abalumendo bale yangala mupila 
/scratch/skscla001/experiments/datasets/bigcgen/audio/12_6647_4_121_01_211105-183836_bem_9ed_elicit_2.wav,kuli ifimuti kunuma apo imbwa ileyangala 
