audio	sentence	duration	gender	native_lang
32_4456_0_321_01_211111-154404_bem_e94_elicit_0.wav	akamulumendo akaice kale owa mumumana 	3.312	female	nyj
22_7707_4_221_01_211112-074343_bem_004_elicit_2.wav	kutali mpela kuli imotoka shitatu ne ng anda 	3.743	female	nbl
22_7881_3_222_02_211112-203859_bem_50c_elicit_1.wav	ku muntwe na kaka umushishi na aka salu ka makumbi makumbi 	3.856	male	lam
13_3239_4_131_01_211108-101951_bem_8cc_elicit_2.wav	ubulalo nabo ba pangafye nefimuti elyo bwaba ubwa ongama 	8.802	female	bem
17_7981_4_171_01_211110-101311_bem_947_elicit_2.wav	cilemoneka kwati umwana alekopa icikope 	7.213999999999999	male	toi
29_3802_0_291_01_211114-135644_bem_433_elicit_0.wav	shikulu bantu umo ali panse alewamya icimbayambaya cakwe ico cacifimbwa na snow 	9.075	male	bem
16_7520_0_161_01_170101-061844_bem_74d_elicit_0.wav	uyu umulumendo alemoneka kwati nanaka ukulele umwana ulele nomba alemoneka kwati aletina ukutenkana kabili umwana nga abuka alalila 	10.799	female	toi
18_12141_4_181_01_211114-231002_bem_5da_elicit_2.wav	cine cine awe kanshi inama shakulaikalafye umwabuta tashakalelolelafye umweshi 	6.76	male	toi
183_3_02_210928-173025_bem_dcc_elicit_1.wav	cimbi abana bonse aba nabafwala ifya kufwala ifya fita 	7.396	male	bem
29_3710_1_292_02_211113-202422_bem_a9e_elicit_0.wav	kuti baba banyina nangula ba wishi ebo asailepo bafwele icabuta kumulu 	6.942	female	bem
30_4088_1_302_02_211109-151701_bem_dbf_elicit_0.wav	elyo bataata nabo nabekata umo umwana pakuboko 	7.417999999999999	female	bem
26_3079_3_262_02_211110-080117_bem_8f1_elicit_1.wav	eee afwile ali nabafyashi abamu pele ifyakulya alelya 	4.151	male	bem
27_8961_2_271_01_211113-101338_bem_f07_elicit_1.wav	uku kucende kulemoneka kwati kuli kamana 	4.718999999999999	male	nya
13_3131_1_132_02_211024-212044_bem_9ed_elicit_0.wav	batatu nababemya ukubafwa ukupoko umupila wa rugby uyo baposele mumulu 	7.622999999999999	male	nya
19_7186_1_192_02_220118-210239_bem_5bb_elicit_0.wav	alebomfya iceswa cakwimanina paku pyanga 	4.763999999999999	male	bem
