audio	sentence	duration	gender	native_lang
27_9123_1_272_02_211113-160137_bem_b15_elicit_0.wav	apa bali aba umo alemoneka alefulukuta panshi cipalile naicena kukulu 	6.851	female	leh
33_4833_1_332_02_211109-233816_bem_b14_elicit_0.wav	uyu umwanakashi elo no mwana bonse naba censa 	5.4670000000000005	female	nse
16_7562_0_161_01_170101-083858_bem_74d_elicit_0.wav	abaume babili nabeminina pacitu nagula cimashini 	8.552999999999999	female	toi
21_1705_0_211_01_211111-092504_bem_83a_elicit_0.wav	akamwaiche ka mwenye akanakashi kalekumbaula fimo mu mpoto nensansa nakafimbana insalu iyafita elyo ali mu muputule bepikilamo pali imbale imbakuli na mapoto pa mbali yakwe 	13.294	female	
16_7540_2_161_01_170101-071446_bem_74d_elicit_1.wav	kutilimbi teyabo imbwa kabili abana batemwa ukwangasha ifishili ifyabo 	9.097	female	toi
21_1788_0_211_01_211112-110304_bem_83a_elicit_0.wav	umukashana umusungu nakwata icipyango cakwiminina alepyanga nalimo mu ng anda yakwe 	6.488	female	
16_7702_4_161_01_211109-164539_bem_74d_elicit_2.wav	ee elo icibansa naco cilemonekafye icakatapa katapa 	6.307	female	toi
21_1884_4_211_01_211112-225349_bem_83a_elicit_2.wav	cacine kwena pantu alekumpauka nganshi 	3.902	female	
15_7448_2_151_01_211027-140309_bem_9ff_elicit_1.wav	cilemoneka kwati umwaice alepunda 	4.492	female	bem
33_4920_0_331_01_211110-233232_bem_c25_elicit_0.wav	ibumba lya bantu abanakashi na baume bali mu cikulwa 	6.534	female	nse
21_7486_3_212_02_220115-122900_bem_62a_elicit_1.wav	elyo bakapokola bonse nabafwala utusote twa makumbi makumbi nefyafita pacifuba 	6.0120000000000005	female	bem
22_7825_2_221_01_211112-165741_bem_004_elicit_1.wav	mwisamba yetebulo na mwaka ilampi chipalile kwati nipa bushiku 	6.534	female	nbl
14_3393_4_141_01_211105-033111_bem_ebf_elicit_2.wav	kwachiba efyo acilalya umwana ifishile nafikatilila palulimi 	7.191	female	bem
9_2085_2_91_01_211025-111011_bem_ebf_elicit_1.wav	beminine mu meenshi kabili nabaloleshanya 	6.67	female	bem
19_1404_3_192_02_211110-165642_bem_d8d_elicit_1.wav	kuti limbi nayibutuka kumwine mwe 	3.698	female	leh
7_1704_1_72_02_211031-171734_bem_40e_elicit_0.wav	cipalile kwati panshi pali umumana emo aletolokela 	5.445	female	bem
5_4950_2_51_01_220116-132415_bem_03f_elicit_1.wav	nakwata nakachola akanono akasomekwe ku mushipi uyu 	5.808	female	bem
7_1671_4_71_01_170101-211459_bem_74d_elicit_2.wav	elo aleumfwa nabwino ukubelenga ici citabo ilyashi lilimo naliwama 	8.961	female	toi
34_5045_2_341_01_211113-193119_bem_004_elicit_1.wav	ali pa makwebo ya kushitisha amaluba 	2.813	female	nbl
8_5532_3_82_02_211104-222343_bem_901_elicit_1.wav	nakalimo imbwa tailemufwaya 	3.902	female	bem
16_7674_0_161_01_211109-145122_bem_74d_elicit_0.wav	imbwa cibili shile butuka mulikampinga 	4.333	female	toi
21_1882_0_211_01_211112-225131_bem_83a_elicit_0.wav	abacaice bane abasungu apali abalumendo babili na bakashana babili balebelesha ukwangala kwa kulwa ninshi nabafwala ne mingila ya buta mucikulwa babeleseshamo 	12.183	female	
39_885_0_391_01_211116-161033_bem_1e5_elicit_0.wav	umwaume umukalamba ali pamusebo naiminina kabili alelisha ifilimba fyakwe 	6.329	female	bem
9_5923_1_92_02_211028-233640_bem_ebf_elicit_0.wav	bushe bali kwisa 	2.904	female	bem
21_1780_4_211_01_211112-105351_bem_83a_elicit_2.wav	cine elyo nafwala ne toloshi lya makumbi makumbi nece mpepo cilemoneka icabutako panono 	6.465	female	
7_5325_2_71_01_211103-224925_bem_1e5_elicit_1.wav	ulupili lwine nalukwata nomwakwikata pakunina efyo babikakofye 	9.619	female	bem
19_1331_3_192_02_211110-130139_bem_d8d_elicit_1.wav	elyo shitata untu apalamine kumwinshi nafwala amagalashi yafita ayakucingilila amenso kukasuba 	7.213999999999999	female	leh
5_4805_3_52_02_220125-062229_bem_574_elicit_1.wav	cine elo ishi mbwa nashitantama mukulungatana ilyo shilepita pa menshi makasa 	7.872000000000001	female	bem
22_7930_4_221_01_211113-010700_bem_004_elicit_2.wav	aba bantu baleya mucende ishapusana pusana 	2.2230000000000003	female	nbl
31_9985_3_312_02_220128-173230_bem_eb0_elicit_1.wav	bushe aba banamayo abafwele insapato shatumipeto finshi balecita muli ici icibansa 	12.024	female	bem
16_6409_3_162_02_220110-110105_bem_9fd_elicit_1.wav	bushe mwana wakwa shitata uyu 	4.174	female	bem
25_2911_1_252_02_211110-103217_bem_f08_elicit_0.wav	nomutenge nawena alepenta batini 	4.129	female	bem
34_5065_4_341_01_211113-221408_bem_004_elicit_2.wav	babili nabekala mupepi ne cishimbi 	3.267	female	nbl
31_4375_3_312_02_211110-174653_bem_83a_elicit_1.wav	cine elyo kunuma yabo na kabili kuline chimbayambaya ca makumbi makumbi 	5.082	female	
15_7485_4_151_01_211027-154000_bem_9ff_elicit_2.wav	cilemoneka kwati balecinda 	4.424	female	bem
29_9465_0_291_01_220112-144602_bem_9ff_elicit_0.wav	abaume basano bali ku cifulo cimo babili nabekala pa mipando elyo batatu nabeminina 	9.71	female	bem
333_0_01_211015-235801_bem_9d4_elicit_0.wav	umwana ali muli ka motoka akanono ale ensha 	5.989	female	bem
22_7772_2_221_01_211112-123711_bem_004_elicit_1.wav	kunuma yabo kuli ama solokoto icikulwa ica buta 	4.492	female	nbl
22_7752_0_221_01_211112-111709_bem_004_elicit_0.wav	umulumendo na iminina pepulanga 	3.085	female	nbl
35_11053_1_352_02_220117-184238_bem_f12_elicit_0.wav	uku ni ku mumana 	2.2230000000000003	female	bem
16_6429_3_162_02_220110-112045_bem_9fd_elicit_1.wav	icibansa cilemoneka ica katapa katapa 	4.492	female	bem
39_941_4_391_01_211117-161752_bem_1e5_elicit_2.wav	cilemoneka kwati aledonsana no mwana munankwe kabili aba bana bonse nabatemwa ifyo bale angala 	10.073	female	bem
11_6255_4_111_01_211028-022550_bem_1e5_elicit_2.wav	elyo kabili alikwata namatobo yatuuma bwino elyo namwentula 	6.624	female	bem
