audio	sentence	duration	gender	native_lang
4_4638_4_41_01_211031-003533_bem_5a5_elicit_2.wav	uyu umulumendo uleshelela alefuma kumpili ishi kalamba eko ale tentemuka 	7.237	male	bem
10_6217_3_102_02_211102-141427_bem_ddd_elicit_1.wav	bushe finshi ilecita imbwa iyi uku kuncende 	5.739	male	bem
12_6645_0_121_01_211105-183625_bem_9ed_elicit_0.wav	abaume baleyensha abaana kuntanshi yabulalo 	6.647	male	nya
12377_0_01_211029-180431_bem_142_elicit_0.wav	ici cikope ciletulangiasha abantu babibili ekuti banamayo kabili bali kuncende ukusuma sana kabili apo banyantile palemoneka apalelema bushe uletontonkaya ukuti nifinshi balecita 	12.5	male	bem
6_1262_1_62_02_211026-091252_bem_976_elicit_0.wav	mukucimona abalumendo balebutusha ifitukutuku sana kwati nakalimo bali mubwangalo bwakucimfyanya 	11.048	male	bem
34_5148_0_341_01_211114-144117_bem_50c_elicit_0.wav	umulumendo ali mucibansa aleteya umupila wakuminwe 	3.856	male	lam
22_2187_4_221_01_211111-071232_bem_50c_elicit_2.wav	awe naka moneka bwino 	2.881	male	lam
34_5122_4_341_01_211114-124506_bem_50c_elicit_2.wav	kunuma yabalumendo kuli icikulwa ici tali 	3.72	male	lam
29_3922_2_291_01_211114-233312_bem_433_elicit_1.wav	ee boi walungika ndemona uyu shikulu bantu alabombesha elo alikwatilamo impiya ishingi muli aya makwebo 	11.82	male	bem
22_2124_0_221_01_211110-200150_bem_50c_elicit_0.wav	abalumendo bale yangala mupila 	2.994	male	lam
12_6647_4_121_01_211105-183836_bem_9ed_elicit_2.wav	kuli ifimuti kunuma apo imbwa ileyangala 	4.763999999999999	male	nya
12_6660_0_121_01_211106-063822_bem_9ed_elicit_0.wav	umulumendo aleyangala mumwela nakaka intambo 	6.465	male	nya
27_9124_0_271_01_211113-211654_bem_f07_elicit_0.wav	akaice kamwaume nakeminina elyo kaleyangasha ama toy 	4.763999999999999	male	nya
22_7796_3_222_02_211112-064616_bem_50c_elicit_1.wav	naiminina nekonto napaapa ne chola panuma 	5.172000000000001	male	lam
22_1975_0_221_01_211109-102535_bem_50c_elicit_0.wav	umulumendo naikala panshi pamusebo alelisha banjo 	4.718999999999999	male	lam
18_12054_0_181_01_211114-122144_bem_5da_elicit_0.wav	shitaata umo nanamayo wakwe baleyenda nabekatana napa kuboko kunuma yabo kuleisa nabanamayo babili baleshimika 	8.417	male	toi
17_7981_4_171_01_211110-101311_bem_947_elicit_2.wav	cilemoneka kwati umwana alekopa icikope 	7.213999999999999	male	toi
20_7221_3_202_02_220119-014036_bem_665_elicit_1.wav	lolesha ifyo umushishi wakwe upatwike busaka busaka kwatifye nimukule 	7.122999999999999	male	bem
2_496_1_22_02_211026-202449_bem_2a5_elicit_0.wav	umo pali aba babili naikata lamya alekopa icipikicala 	5.649	male	
25_2758_4_251_01_211109-154100_bem_5da_elicit_2.wav	limbi nyabobene pantu bantu abatemwa ukumona ifinama fya pusana pusana 	6.102	male	toi
37_11666_4_371_01_211114-142820_bem_5bb_elicit_2.wav	kabili kulemoneka na bantu 	6.806	male	bem
12_6573_0_121_01_211105-120947_bem_9ed_elicit_0.wav	akaice nakekala kaleshelemuka paka shelemuko 	4.537	male	nya
1_187_2_11_01_211031-144411_bem_cc3_elicit_1.wav	umwaume uyu ali pancinga ali mukucimfyanya kwa macinga 	12.773	male	toi
26_3144_4_261_01_211110-112635_bem_dcc_elicit_2.wav	eee pantu iyi inshita umwana afwile nalala aletusha 	5.921	male	bem
17_6615_3_172_02_220112-152547_bem_5da_elicit_1.wav	bushe kwena teti cabadilikila icidili ici bale imbamo copper 	4.582	male	toi
16_6385_0_161_01_220111-140335_bem_5da_elicit_0.wav	banamayo babili na shitata umo nabekala bale teya bwangalo bwa patebulo 	6.329	male	toi
6_1251_4_61_01_211024-060725_bem_53e_elicit_2.wav	uwulemoneka umwaice nabika necakashika mumutwe elyo imenda ili kunuma ili neshilwa mutanda ishabuta na muntanda ishakashika 	14.542	male	bem
29_9546_1_292_02_220112-184335_bem_84b_elicit_0.wav	bushe cinshi aikatile ku mutwe 	3.357	male	ngo
1_3966_1_12_02_211104-153722_bem_2a5_elicit_0.wav	alepona ukufuma pelibwe ilikalamba cifwile epo acinina 	5.808	male	
13_6945_0_131_01_211031-144416_bem_9ed_elicit_0.wav	abaice batatu nabeminina umbi naikata akamu pila 	5.785	male	nya
32_4564_3_322_02_211111-085124_bem_947_elicit_1.wav	eee cacine nasumina kabili bekele na mukantelelwe 	6.261	male	toi
8_1871_1_82_02_211031-044322_bem_ce8_elicit_0.wav	balifye abengi kululamba lwa mumana 	4.787	male	bem
10_6101_2_101_01_211104-135759_bem_5a5_elicit_1.wav	kumenso na asama akanwa kwati alesekelela 	5.4670000000000005	male	bem
8_1788_4_81_01_211026-080729_bem_abe_elicit_2.wav	elyo nefyakufwala afwele filemoneka fyakunininako impili 	7.305	male	bem
28_9311_2_281_01_220109-105856_bem_94f_elicit_1.wav	elyo ama botolo yambi nabaya kolonganika umwa pusanapusana cifwile kuli na bambi abeshile muku teya aya yene amangalo 	10.685	male	ngo
31_4265_2_311_01_211110-082004_bem_85e_elicit_1.wav	panuma yakwe uuli kukulyo nakwikala umusungu umukalamba namaayo 	4.582	male	bem
25_2934_0_251_01_211110-165900_bem_5da_elicit_0.wav	banamayo naba shitata nabeminina pamusebo bale lanshanya 	4.855	male	toi
18_12113_2_181_01_211114-164804_bem_5da_elicit_1.wav	ee boi akakopo kalya muminwe kalemoneka kwati kakufuminisha ndesubila kali nabakalamba 	7.486000000000001	male	toi
22_7703_3_222_02_211111-212617_bem_50c_elicit_1.wav	ifya kunshi fyali fita 	2.495	male	lam
22_2069_4_221_01_211110-084131_bem_50c_elicit_2.wav	utupepala twalikashika utuli panshi tule langa umwapita umusebo 	6.352	male	lam
36_5604_2_361_01_211114-200301_bem_654_elicit_1.wav	kabalwe natoloka icintu icabuta icamapulanga lili mumulu elyo pambali pali imipila shitatu ishabuuta 	11.071	male	bem
21_7622_2_211_01_220118-093522_bem_665_elicit_1.wav	nabafwala bwino kabili busaka busaka kwatifye nibana ma ofeshi efifwile ukumoneka iluba ifiso 	8.621	male	bem
37_11470_4_371_01_211113-102752_bem_5bb_elicit_2.wav	kulukasa nafwala nolusokoshi lwabuta 	3.97	male	bem
12_6528_0_121_01_211105-095451_bem_9ed_elicit_0.wav	akamwana kaleikata umulumendo ulelepanshi 	5.808	male	nya
2_404_3_22_02_211026-162707_bem_2a5_elicit_1.wav	lubali lumbi nakontamako panono pa kuti enaka sana kabili pa kuti alemona uko aleya bwino 	8.076	male	
18_12050_0_181_01_211114-120951_bem_5da_elicit_0.wav	akamukashana nakasekelela nakekala pamupila eo kabikile pamulu wafipuna ifyo bakulilila 	7.213999999999999	male	toi
27_3409_1_272_02_211111-151629_bem_f07_elicit_0.wav	elyo kabili balemoneka kwati nabanaka kweenda 	3.811	male	nya
26_3060_4_261_01_211109-122046_bem_dcc_elicit_2.wav	eee cacine efyale citika ifyo walanda 	4.763999999999999	male	bem
26_3002_1_262_02_211109-105801_bem_8f1_elicit_0.wav	efyo eminine cilemoneka kwati pali eco aposele mumulu 	4.605	male	bem
34_10751_3_342_02_220128-003829_bem_d0b_elicit_1.wav	bushe ululingana nefyo ici cifulo cilemoneka kuti watile nishitanshi iyi 	5.354	male	bem
792_3_02_211011-232057_bem_81c_elicit_1.wav	utu utubotolo tulemoneka bushe kwali ifyo alenwa uyu umwaume uyu 	5.376	male	bem
22_7829_1_222_02_211112-114216_bem_50c_elicit_0.wav	natuloka nanina nako kucilibwe 	3.062	male	lam
17_6557_1_172_02_220112-132013_bem_5da_elicit_0.wav	muncende bali mulemoneka kwati nimu class 	3.675	male	toi
604_0_01_211005-105320_bem_dcc_elicit_0.wav	shitata alelisha icilimba ca nsaale 	4.923	male	bem
12_2930_0_121_01_211031-170608_bem_bd6_elicit_0.wav	imbwa ilepepeka ifyoni 	5.7170000000000005	male	lam
12_2924_2_121_01_211031-164039_bem_bd6_elicit_1.wav	nafwala nama gogo 	4.65	male	lam
19_1297_0_191_01_211108-220721_bem_665_elicit_0.wav	shitata wa cimwenye nomukashi wakwe bali nabana babo kuli shikulubantu umwefi 	7.441	male	bem
25_2773_0_251_01_211109-170531_bem_5da_elicit_0.wav	shitata afuma ukukwempa ichani naka machine 	4.492	male	toi
26_8801_1_262_02_211111-162754_bem_dcc_elicit_0.wav	bushe aya meenshi balesamba teyafiko sana 	4.401	male	bem
10_2301_0_101_01_211027-103745_bem_ddd_elicit_0.wav	namayo nanina ku cimuti icikalamba elyo naikata na ku musambo 	14.724	male	bem
32_4502_1_322_02_211111-070346_bem_947_elicit_0.wav	bushe mulandunshi uyu mulumendo na umukashana beminine kumbali yafimbaya mbaya 	8.961	male	toi
21_7698_4_211_01_220118-140414_bem_665_elicit_2.wav	icushi cilefuka ku mpili cileya mukupanga amakumbi mumulu eco mufitile nga filya imfula imoneka pakutampa 	9.823	male	bem
14_3421_1_142_02_211030-121239_bem_743_elicit_0.wav	panse pali apafiita pantu ninshita yabushiku 	5.172000000000001	male	bem
